0.000,0.000,0.000,-2.000,0.000,0.000,0.000
0.020,0.047,0.038,-1.976,3.534,2.826,1.767
0.040,0.094,0.075,-1.953,3.530,2.814,1.765
0.060,0.141,0.112,-1.929,3.523,2.792,1.762
0.080,0.188,0.149,-1.906,3.513,2.759,1.756
0.100,0.235,0.185,-1.883,3.499,2.715,1.749
0.120,0.281,0.221,-1.859,3.482,2.660,1.741
0.140,0.327,0.255,-1.836,3.461,2.594,1.730
0.160,0.373,0.289,-1.813,3.436,2.519,1.718
0.180,0.418,0.321,-1.791,3.409,2.433,1.704
0.200,0.464,0.353,-1.768,3.378,2.338,1.689
0.220,0.508,0.382,-1.746,3.344,2.234,1.672
0.240,0.552,0.411,-1.724,3.306,2.121,1.653
0.260,0.596,0.437,-1.702,3.265,1.999,1.633
0.280,0.639,0.462,-1.681,3.221,1.870,1.611
0.300,0.681,0.485,-1.660,3.174,1.733,1.587
0.320,0.723,0.507,-1.639,3.123,1.589,1.562
0.340,0.764,0.526,-1.618,3.070,1.439,1.535
0.360,0.804,0.543,-1.598,3.013,1.283,1.507
0.380,0.843,0.558,-1.578,2.954,1.123,1.477
0.400,0.882,0.571,-1.559,2.891,0.958,1.446
0.420,0.919,0.581,-1.540,2.826,0.789,1.413
0.440,0.956,0.589,-1.522,2.758,0.617,1.379
0.460,0.992,0.595,-1.504,2.687,0.442,1.344
0.480,1.027,0.599,-1.487,2.614,0.266,1.307
0.500,1.061,0.600,-1.470,2.538,0.089,1.269
0.520,1.093,0.599,-1.453,2.459,-0.089,1.230
0.540,1.125,0.595,-1.437,2.379,-0.266,1.189
0.560,1.156,0.589,-1.422,2.295,-0.442,1.148
0.580,1.185,0.581,-1.407,2.210,-0.617,1.105
0.600,1.214,0.571,-1.393,2.122,-0.789,1.061
0.620,1.241,0.558,-1.380,2.032,-0.958,1.016
0.640,1.266,0.543,-1.367,1.940,-1.123,0.970
0.660,1.291,0.526,-1.354,1.847,-1.283,0.923
0.680,1.314,0.507,-1.343,1.751,-1.439,0.876
0.700,1.337,0.485,-1.332,1.654,-1.589,0.827
0.720,1.357,0.462,-1.321,1.555,-1.733,0.777
0.740,1.377,0.437,-1.312,1.454,-1.870,0.727
0.760,1.395,0.411,-1.303,1.352,-1.999,0.676
0.780,1.411,0.382,-1.294,1.249,-2.121,0.625
0.800,1.427,0.353,-1.287,1.145,-2.234,0.572
0.820,1.440,0.321,-1.280,1.039,-2.338,0.520
0.840,1.453,0.289,-1.274,0.933,-2.433,0.466
0.860,1.464,0.255,-1.268,0.825,-2.519,0.413
0.880,1.473,0.221,-1.263,0.717,-2.594,0.358
